Intention,Usefulness,Ease,Trust,Gender,Condition,AgeGroup
100,50,50,100.0,0,1,0
50,75,73,72.0,0,2,1
63,38,41,100.0,1,2,0
100,100,100,100.0,1,0,0
100,100,78,78.0,1,2,0
25,68,58,100.0,1,1,0
75,60,60,75.0,0,0,0
61,40,82,50.0,1,1,0
89,86,69,80.0,1,2,0
50,95,50,50.0,1,1,0
100,100,100,100.0,0,1,0
86,91,73,37.0,0,1,0
0,50,0,9.0,0,1,0
56,36,48,100.0,1,2,0
52,50,80,100.0,0,1,0
16,37,10,50.0,1,0,0
100,100,65,75.0,0,0,0
100,100,80,57.0,0,1,0
50,38,50,0.0,1,0,0
100,100,87,99.0,1,2,0
81,100,100,100.0,0,0,0
86,86,100,90.0,1,2,0
95,70,95,100.0,0,2,0
50,50,50,50.0,0,2,0
100,100,100,100.0,0,0,0
93,80,74,90.0,0,2,0
90,20,70,100.0,0,2,0
89,88,80,100.0,0,1,0
100,100,100,100.0,0,0,3
50,90,80,50.0,0,0,0
100,100,100,100.0,0,1,0
87,50,50,68.0,1,1,0
50,50,50,50.0,1,0,2
84,39,50,100.0,0,2,0
0,100,77,99.0,0,0,0
100,92,70,100.0,0,1,0
100,30,100,100.0,1,1,0
100,100,100,100.0,1,1,0
100,100,0,100.0,0,0,0
100,100,100,100.0,1,1,0
25,100,64,100.0,0,2,0
100,100,100,80.0,0,2,0
50,50,96,98.0,1,1,2
100,87,83,100.0,0,1,0
76,100,100,100.0,0,1,0
73,83,77,72.0,1,2,2
100,100,100,100.0,0,0,0
100,100,100,99.0,0,2,0
72,59,53,100.0,0,1,0
100,100,100,100.0,0,1,0
90,100,100,100.0,0,1,0
84,74,50,87.0,0,1,3
70,50,75,50.0,0,0,0
100,100,100,85.0,1,0,4
75,75,78,87.0,0,1,4
35,62,61,39.0,1,2,1
100,50,75,100.0,0,1,0
100,100,100,100.0,0,2,0
96,100,42,69.0,1,1,0
38,22,66,75.0,1,1,0
73,32,100,74.0,1,1,1
100,68,77,100.0,0,2,0
60,60,85,75.0,1,1,0
41,100,100,100.0,1,1,0
100,100,91,75.0,0,0,2
0,50,22,14.0,1,0,2
50,66,28,16.0,1,1,1
82,74,32,25.0,0,0,1
100,100,70,65.0,0,2,1
44,21,87,100.0,0,0,0
100,100,73,100.0,0,0,0
40,85,75,100.0,1,1,0
86,79,63,80.0,0,1,0
100,100,100,100.0,0,0,0
94,79,86,100.0,1,1,2
50,100,50,100.0,1,0,0
0,89,100,80.0,0,1,0
15,30,15,30.0,1,0,1
24,19,42,63.0,1,1,2
73,65,91,100.0,1,0,0
75,30,85,65.0,0,0,1
9,9,50,86.0,1,2,0
71,83,78,79.0,1,2,2
75,35,45,50.0,0,0,0
35,41,100,0.0,0,2,0
8,7,50,68.0,0,0,3
67,70,72,38.0,0,0,0
80,65,70,50.0,0,2,0
50,50,0,50.0,1,2,0
82,76,73,79.0,0,1,1
60,20,50,60.0,0,1,1
94,88,84,100.0,0,1,0
100,81,100,100.0,0,1,0
100,100,50,100.0,0,2,1
100,100,38,100.0,0,2,0
100,100,100,0.0,0,0,0
37,62,50,79.0,1,1,0
50,100,50,90.0,1,0,2
50,50,50,66.0,1,0,2
79,72,77,50.0,0,1,0
100,100,69,100.0,1,0,0
50,80,50,90.0,1,1,2
78,75,80,75.0,0,1,2
100,81,81,86.0,1,0,0
86,96,95,97.0,0,1,2
34,50,38,50.0,1,2,1
0,40,20,0.0,1,2,1
27,26,13,23.0,0,2,3
81,80,80,80.0,0,0,0
18,26,50,20.0,1,0,2
50,50,50,0.0,0,1,0
66,50,50,20.0,1,2,1
0,0,13,100.0,0,0,1
0,50,50,26.0,1,0,1
35,64,34,67.0,0,0,3
96,93,88,91.0,0,0,3
77,63,76,50.0,0,1,2
50,97,89,94.0,0,2,2
50,50,50,100.0,0,0,3
77,100,100,80.0,0,1,1
70,76,85,20.0,0,0,2
50,51,50,50.0,1,2,1
57,29,15,33.0,0,0,2
18,13,50,32.0,1,0,3
50,85,50,95.0,0,0,2
83,75,72,84.0,0,1,1
15,50,50,8.0,1,2,1
1,50,23,60.0,1,2,2
30,100,65,30.0,1,0,0
50,50,30,50.0,0,0,2
15,50,23,50.0,1,1,2
89,50,78,78.0,0,0,2
50,50,50,50.0,0,2,2
90,88,65,24.0,0,0,3
0,80,100,31.0,1,2,3
0,12,5,7.0,1,2,1
50,85,75,81.0,1,2,1
13,15,10,67.0,1,1,0
39,40,33,64.0,1,0,2
20,25,10,20.0,0,0,1
98,10,96,100.0,1,0,3
81,95,100,100.0,0,1,1
0,82,32,81.0,0,2,0
70,80,60,70.0,0,1,1
100,100,50,100.0,0,2,0
100,91,99,84.0,0,0,1
